"","ID.deid","T1_Age","T1_Gender","T1_Ethnicity","T1c_BFI_open","T1c_BFI_conscientious","T1c_BFI_extraversion","T1c_BFI_agreeable","T1c_BFI_neurotic","T1_SWL_1","T1_SWL_2","T1_SWL_3","T1_SWL_4","T1_SWL_5","T1_SWL_Mean","T2_SWL_1","T2_SWL_2","T2_SWL_3","T2_SWL_4","T2_SWL_5","T2_SWL_Mean","T3_SWL_1","T3_SWL_2","T3_SWL_3","T3_SWL_4","T3_SWL_5","T3_SWL_Mean","T4_SWL_1","T4_SWL_2","T4_SWL_3","T4_SWL_4","T4_SWL_5","T4_SWL_Mean","T5_SWL_1","T5_SWL_2","T5_SWL_3","T5_SWL_4","T5_SWL_5","T5_SWL_Mean","T6_SWL_1","T6_SWL_2","T6_SWL_3","T6_SWL_4","T6_SWL_5","T6_SWL_Mean","T7_SWL_1","T7_SWL_2","T7_SWL_3","T7_SWL_4","T7_SWL_5","T7_SWL_Mean","T8_SWL_1","T8_SWL_2","T8_SWL_3","T8_SWL_4","T8_SWL_5","T8_SWL_Mean","T9_SWL_1","T9_SWL_2","T9_SWL_3","T9_SWL_4","T9_SWL_5","T9_SWL_Mean","T10_SWL_1","T10_SWL_2","T10_SWL_3","T10_SWL_4","T10_SWL_5","T10_SWL_Mean","T11_SWL_1","T11_SWL_2","T11_SWL_3","T11_SWL_4","T11_SWL_5","T11_SWL_Mean","T11_LifeSatisf_Change_1","T11_LifeSatisf_Change_2","T11_LifeSatisf_Change_3","T11_LifeSatisf_Change_4","T11_LifeSatisf_Change_5"
"185",185,36,2,2,3.33333333333333,4,0.333333333333333,3.66666666666667,2,5,5,5,5,5,5,4,4,4,5,5,4.4,6,5,5,6,5,5.4,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5.8,6,6,5,5,4,5.2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,2,5,5
"186",186,34,1,5,1.66666666666667,3.33333333333333,0.333333333333333,2.33333333333333,1.66666666666667,1,2,1,0,0,0.8,1,1,0,0,0,0.4,1,2,1,0,0,0.8,1,3,1,0,0,1,0,3,1,0,0,0.8,1,3,1,0,0,1,1,3,1,0,0,1,0,4,0,0,0,0.8,0,3,0,1,0,0.8,1,3,1,1,0,1.2,1,3,1,1,0,1.2,3,1,1,3,4
"187",187,45,2,1,3.33333333333333,4,1.33333333333333,4,2,5,4,5,5,5,4.8,3,3,6,4,5,4.2,4,4,5,4,5,4.4,3,3,5,4,4,3.8,4,4,5,4,4,4.2,5,3,5,4,4,4.2,5,4,5,4,5,4.6,3,2,3,3,0,2.2,5,4,5,4,5,4.6,4,4,5,5,5,4.6,5,4,5,5,5,4.8,6,5,0,7,7
"188",188,23,1,5,2,3,0.333333333333333,3.66666666666667,1.66666666666667,0,1,1,0,0,0.4,0,3,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.2,0,2,2,0,0,0.8,0,2,2,0,0,0.8,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189",189,20,1,2,2.33333333333333,2,1.66666666666667,3,2,4,5,4,5,4,4.4,4,5,5,4,4,4.4,4,5,4,4,4,4.2,4,5,5,4,2,4,4,5,4,4,4,4.2,NA,NA,NA,NA,NA,NA,3,4,3,2,3,3,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190",190,26,1,1,NA,NA,NA,NA,NA,6,6,5,5,1,4.6,5,5,2,3,0,3,NA,NA,NA,NA,NA,NA,4,5,3,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,2,2,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191",191,50,2,2,2.33333333333333,2,1,2.33333333333333,2,6,6,6,6,5,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,2,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192",192,43,2,1,3,2.66666666666667,2,1.66666666666667,0.666666666666667,2,2,4,5,1,2.8,4,2,4,4,1,3,4,3,4,4,1,3.2,4,4,5,5,1,3.8,4,3,5,4,0,3.2,3,2,5,3,1,2.8,4,3,4,4,1,3.2,0,2,0,2,1,1,3,3,3,3,1,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193",193,47,1,2,3.33333333333333,4,0.666666666666667,0.333333333333333,0.666666666666667,0,1,2,1,0,0.8,3,3,4,5,6,4.2,4,3,4,4,4,3.8,NA,NA,NA,NA,NA,NA,4,3,4,5,5,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2,4,2,2.8,4,3,4,5,5,4.2,0,3,4,5,6,3.6,4,4,4,6,6,4.8,3,3,3,7,7
"194",194,35,1,2,4,1.66666666666667,0.333333333333333,2,3.66666666666667,0,0,0,0,1,0.2,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,2,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,5,5,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195",195,25,1,1,4,4,4,3.33333333333333,0,5,6,6,5,0,4.4,6,5,6,6,0,4.6,5,6,6,5,4,5.2,6,5,6,6,5,5.6,6,5,6,6,4,5.4,6,5,6,4,5,5.2,NA,NA,NA,NA,NA,NA,1,0,4,3,0,1.6,5,6,5,6,1,4.6,6,5,6,5,4,5.2,5,6,5,4,0,4,5,5,5,4,3
"196",196,23,2,5,NA,NA,NA,NA,NA,3,2,3,4,4,3.2,3,2,3,4,4,3.2,3,3,3,4,4,3.4,3,3,4,4,3,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,3,3,2.8,1,2,2,3,0,1.6,3,3,4,4,3,3.4,3,3,4,4,3,3.4,3,3,3,4,4,3.4,4,3,3,3,5
"197",197,27,1,1,2.33333333333333,1.66666666666667,2.33333333333333,3,2.66666666666667,6,6,6,3,3,4.8,6,5,6,4,3,4.8,5,5,4,5,5,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,3,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198",198,31,2,6,4,3.66666666666667,3.33333333333333,3.66666666666667,0.333333333333333,4,5,5,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,1,0,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199",199,29,2,1,3,3.33333333333333,1.66666666666667,2.66666666666667,1.66666666666667,5,3,4,6,2,4,3,4,4,1,5,3.4,4,3,4,1,2,2.8,6,6,4,1,5,4.4,2,4,3,1,5,3,5,4,6,2,5,4.4,5,2,6,6,5,4.8,3,3,4,5,1,3.2,5,3,4,5,2,3.8,5,1,6,3,4,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200",200,23,1,5,NA,NA,NA,NA,NA,1,1,1,0,0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,2,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201",201,29,2,2,2.33333333333333,3.66666666666667,1.33333333333333,3.33333333333333,2,3,5,3,3,2,3.2,3,4,3,3,2,3,3,4,3,3,3,3.2,3,5,2,2,2,2.8,3,5,3,2,2,3,2,5,2,2,2,2.6,2,5,1,2,1,2.2,1,2,2,0,4,1.8,2,5,2,2,2,2.6,1,4,1,1,1,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202",202,30,2,2,3.33333333333333,0.666666666666667,2.33333333333333,2,2.33333333333333,0,0,1,0,3,0.8,3,3,3,3,3,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,1.4,3,3,3,3,3,3,2,5,4,2,0,2.6,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203",203,37,2,2,4,3.66666666666667,1.66666666666667,3.66666666666667,3,6,6,6,6,6,6,4,4,4,4,4,4,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,4,4.8,3,3,3,3,1,2.6,4,4,4,4,2,3.6,5,5,5,4,5,4.8,5,5,5,5,4,4.8,4,4,5,4,3,4,4,4,4,4,2,3.6,1,3,3,6,7
"204",204,56,1,2,1.66666666666667,3,1.33333333333333,2.66666666666667,1,4,4,4,5,2,3.8,NA,NA,NA,NA,NA,NA,4,4,4,5,2,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,2,2,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205",205,38,2,1,0,2.33333333333333,1.33333333333333,2.66666666666667,3.33333333333333,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,4,5,5,1,4
"206",206,39,1,5,0.333333333333333,2,2.33333333333333,0.666666666666667,0,5,5,6,5,2,4.6,5,5,6,5,2,4.6,6,6,6,5,2,5,5,6,6,5,2,4.8,5,5,5,5,2,4.4,NA,NA,NA,NA,NA,NA,5,6,6,5,1,4.6,5,5,5,5,1,4.2,5,5,6,5,2,4.6,5,5,6,5,2,4.6,5,6,6,5,2,4.8,3,4,3,5,2
"207",207,32,2,4,4,3.33333333333333,2.66666666666667,2.66666666666667,1.33333333333333,1,1,4,4,0,2,0,1,3,4,0,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,4,0,1.8,3,0,3,3,0,1.8,2,1,3,3,0,1.8,0,0,4,4,0,1.6,0,0,4,4,0,1.6,2,3,3,6,4
"208",208,38,2,6,2.66666666666667,4,1.66666666666667,3.66666666666667,2.33333333333333,1,3,3,3,2,2.4,NA,NA,NA,NA,NA,NA,4,3,3,4,3,3.4,3,3,2,4,2,2.8,2,2,2,3,2,2.2,3,2,3,4,3,3,3,2,3,3,2,2.6,6,6,6,6,6,6,2,1,3,5,2,2.6,2,1,3,5,1,2.4,2,2,2,5,1,2.4,4,5,3,1,6
"209",209,21,1,1,NA,NA,NA,NA,NA,4,4,5,5,4,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210",210,50,2,2,NA,NA,NA,NA,NA,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,4,5,5,4.8,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,6,6,6,6,6,6,1,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,0,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211",211,28,2,1,3.66666666666667,2.66666666666667,1,3.66666666666667,3.33333333333333,1,3,2,2,0,1.6,4,5,4,4,1,3.6,5,5,4,3,1,3.6,4,5,4,3,1,3.4,3,3,2,3,1,2.4,2,3,2,3,0,2,3,4,3,2,0,2.4,4,4,4,4,4,4,3,4,4,2,1,2.8,2,2,2,3,0,1.8,2,4,4,2,1,2.6,4,5,4,6,6
"212",212,34,1,6,2,2.33333333333333,1.33333333333333,1.66666666666667,2.33333333333333,4,4,4,5,4,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,1,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213",213,39,2,5,3.33333333333333,3.33333333333333,2,3.66666666666667,0.333333333333333,5,5,6,5,5,5.2,5,5,6,5,5,5.2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,6,6,6,5.8,0,1,0,0,0,0.2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,5,7,4
"214",214,62,2,1,3,3.66666666666667,2,3.66666666666667,0,3,1,1,5,1,2.2,3,1,3,5,2,2.8,3,3,3,5,3,3.4,3,2,3,5,2,3,2,1,3,4,2,2.4,3,1,3,4,2,2.6,2,2,2,4,1,2.2,5,5,5,5,5,5,3,2,3,4,2,2.8,3,3,2,4,1,2.6,3,1,3,5,2,2.8,5,2,3,7,5
"215",215,32,2,1,3.66666666666667,1.66666666666667,2.66666666666667,2.66666666666667,2.66666666666667,2,2,2,0,0,1.2,1,1,1,1,1,1,1,1,2,1,0,1,1,0,2,1,0,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,2,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216",216,39,1,2,4,3.33333333333333,0.666666666666667,3.33333333333333,1,4,5,6,5,1,4.2,5,6,5,5,1,4.4,4,5,5,4,1,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5,4,0,3.6,5,6,5,5,1,4.4,0,1,2,4,0,1.4,NA,NA,NA,NA,NA,NA,6,5,6,5,0,4.4,5,6,6,5,0,4.4,4,3,3,4,5
"217",217,39,2,1,3.33333333333333,3.66666666666667,1.66666666666667,3,0.333333333333333,2,2,2,3,2,2.2,2,3,2,2,1,2,3,3,3,2,2,2.6,2,2,3,2,1,2,2,3,3,3,2,2.6,2,2,2,1,1,1.6,1,1,1,1,1,1,3,3,3,3,0,2.4,2,2,2,1,0,1.4,3,3,3,3,2,2.8,3,3,2,2,1,2.2,4,4,4,5,6
"218",218,28,1,5,NA,NA,NA,NA,NA,3,3,3,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,5,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,4,4,3,4,4
"219",219,31,2,2,4,2,1,3,3,3,3,3,4,2,3,3,4,3,4,3,3.4,2,3,3,3,2,2.6,3,3,3,4,2,3,3,3,3,3,2,2.8,3,3,3,2,2,2.6,3,3,3,4,2,3,2,2,2,2,2,2,1,2,2,1,1,1.4,2,3,2,3,2,2.4,2,2,2,3,1,2,1,3,3,7,6
"220",220,27,2,5,NA,NA,NA,NA,NA,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,3,3,3,2,4,3,4,4,4,4,6,4.4,NA,NA,NA,NA,NA,NA,3,3,3,1,6,3.2,NA,NA,NA,NA,NA,NA,3,5,2,1,2,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221",221,20,1,6,2.66666666666667,2.66666666666667,2,3.33333333333333,1.33333333333333,4,5,4,4,3,4,4,5,3,5,1,3.6,4,5,1,4,2,3.2,4,6,3,4,1,3.6,4,6,3,4,1,3.6,3,3,3,3,3,3,4,5,3,5,1,3.6,1,1,1,1,1,1,4,6,4,5,2,4.2,4,6,2,4,2,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222",222,54,2,2,2.66666666666667,3,2,3.66666666666667,1.66666666666667,4,3,3,5,0,3,3,3,3,5,1,3,4,3,4,4,0,3,1,1,3,4,0,1.8,2,2,3,5,0,2.4,3,2,4,5,0,2.8,3,2,4,5,1,3,3,2,1,1,0,1.4,NA,NA,NA,NA,NA,NA,4,4,4,5,1,3.6,3,2,3,5,0,2.6,2,3,3,7,6
"223",223,32,1,5,NA,NA,NA,NA,NA,4,4,4,4,1,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,4,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,4,4,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224",224,23,2,5,3.33333333333333,3.33333333333333,1.33333333333333,3.33333333333333,2.33333333333333,4,4,4,4,4,4,2,2,2,2,2,2,2,3,3,0,3,2.2,4,4,3,4,3,3.6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,0,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225",225,54,1,5,NA,NA,NA,NA,NA,2,2,1,1,0,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,1,0,1.4,3,3,4,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226",226,42,2,2,NA,NA,NA,NA,NA,2,2,3,3,2,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,5,5,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227",227,37,1,2,1.66666666666667,2.66666666666667,0.666666666666667,1.66666666666667,3,4,4,4,4,4,4,5,4,5,5,5,4.8,5,5,5,5,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,4,5,4,5,0,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228",228,42,2,5,2.66666666666667,3.33333333333333,1.66666666666667,1.66666666666667,1.33333333333333,4,4,4,2,1,3,2,2,2,2,2,2,2,3,3,2,0,2,NA,NA,NA,NA,NA,NA,4,3,4,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,3,1,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229",229,19,1,6,3,2.66666666666667,1,3,1.33333333333333,3,2,4,3,4,3.2,1,2,2,1,0,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,5,2,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230",230,48,2,6,2.33333333333333,3,1.66666666666667,3,1,1,3,3,2,1,2,4,3,3,3,1,2.8,3,3,3,2,1,2.4,2,4,4,2,1,2.6,4,2,3,2,2,2.6,1,1,2,3,1,1.6,3,3,3,2,0,2.2,5,5,6,5,4,5,0,3,3,1,0,1.4,4,4,3,2,1,2.8,1,2,5,1,0,1.8,5,2,3,3,2
"231",231,44,2,5,3,2.33333333333333,0.333333333333333,2.66666666666667,2,3,3,4,4,2,3.2,2,2,3,4,3,2.8,4,3,4,5,4,4,3,3,3,4,1,2.8,2,2,2,3,3,2.4,3,3,3,3,3,3,4,4,4,5,5,4.4,2,0,2,4,2,2,3,3,4,5,4,3.8,4,3,4,5,4,4,3,3,4,4,2,3.2,5,3,0,5,7
"232",232,24,2,2,1,2.33333333333333,0.333333333333333,2.33333333333333,2.33333333333333,0,3,0,1,0,0.8,0,2,0,1,0,0.6,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0.2,0,2,0,1,0,0.6,0,3,1,0,0,0.8,0,3,0,0,0,0.6,1,2,0,0,0,0.6,NA,NA,NA,NA,NA,NA,0,3,0,0,0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233",233,28,2,1,3.66666666666667,2.33333333333333,0.666666666666667,2.33333333333333,2.33333333333333,2,3,2,3,3,2.6,3,3,3,4,4,3.4,1,3,2,4,3,2.6,3,3,3,3,4,3.2,2,3,2,3,4,2.8,2,3,3,4,5,3.4,3,3,3,3,5,3.4,1,2,0,1,0,0.8,3,2,3,3,4,3,3,3,3,5,5,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234",234,37,2,1,3,3.33333333333333,0.333333333333333,3.66666666666667,3.33333333333333,1,2,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,6,5,4,4.4,NA,NA,NA,NA,NA,NA,0,2,3,1,2,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235",235,28,1,2,NA,NA,NA,NA,NA,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,4,2,4,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236",236,40,2,2,0.333333333333333,4,1.66666666666667,1.33333333333333,2.66666666666667,5,4,6,5,4,4.8,1,3,3,5,3,3,5,5,5,5,4,4.8,5,5,6,5,4,5,5,5,6,5,4,5,5,5,6,5,4,5,5,5,6,6,3,5,0,0,0,0,0,0,5,5,6,5,4,5,5,5,5,5,4,4.8,6,6,6,6,4,5.6,4,5,1,4,6
"237",237,19,1,6,1.66666666666667,1.66666666666667,2.33333333333333,2.33333333333333,2.33333333333333,3,3,4,4,3,3.4,NA,NA,NA,NA,NA,NA,2,2,1,3,4,2.4,4,2,3,2,3,2.8,3,4,3,3,4,3.4,1,2,2,1,1,1.4,2,1,1,2,1,1.4,6,6,6,5,6,5.8,4,1,1,1,1,1.6,2,1,2,1,1,1.4,3,3,1,2,1,2,2,2,3,4,4
"238",238,30,1,1,NA,NA,NA,NA,NA,0,0,0,1,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,2,2,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239",239,30,2,1,2,2.33333333333333,1.33333333333333,2.33333333333333,2,6,5,5,6,6,5.6,4,5,6,5,5,5,6,5,6,6,5,5.6,0,5,5,6,5,4.2,4,5,5,5,6,5,6,6,6,6,6,6,4,5,4,5,5,4.6,3,3,3,3,4,3.2,3,3,4,5,3,3.6,3,6,5,5,5,4.8,6,6,6,6,6,6,5,2,2,5,5
"240",240,25,1,5,2,2.33333333333333,2.33333333333333,2.33333333333333,2.33333333333333,2,3,3,4,4,3.2,NA,NA,NA,NA,NA,NA,2,4,4,3,3,3.2,2,3,4,4,3,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,2,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241",241,38,1,1,1,3.33333333333333,1.66666666666667,1,0.333333333333333,4,4,5,3,5,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,1,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242",242,30,1,6,1.33333333333333,1.33333333333333,1.66666666666667,0.666666666666667,2.33333333333333,3,4,3,3,3,3.2,6,6,4,4,4,4.8,4,4,4,1,2,3,3,1,1,2,1,1.6,4,4,4,4,4,4,4,4,4,6,4,4.4,4,4,3,3,3,3.4,2,3,2,1,3,2.2,3,2,2,3,3,2.6,3,2,2,1,2,2,2,1,1,2,1,1.4,0,5,5,4,2
"243",243,28,1,2,2.66666666666667,4,2.66666666666667,4,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,5.4,6,6,6,6,6,6,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244",244,29,2,5,3.33333333333333,1.33333333333333,1.33333333333333,3.33333333333333,2.66666666666667,2,2,2,2,2,2,0,2,1,1,1,1,2,2,0,0,0,0.8,0,2,0,1,2,1,0,0,0,0,2,0.4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,2,3,3,2,0,2,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,3,3,3,1,7
"245",245,25,2,2,2.66666666666667,3.66666666666667,2.66666666666667,3.33333333333333,0.333333333333333,4,4,5,6,4,4.6,2,2,4,1,3,2.4,5,4,6,4,4,4.6,5,3,4,4,5,4.2,4,5,5,2,4,4,4,3,5,2,5,3.8,4,4,5,2,6,4.2,5,6,5,5,5,5.2,4,4,6,2,5,4.2,3,4,4,1,5,3.4,4,6,6,1,5,4.4,5,3,3,6,2
