id.deid,T1_Age,T1_Gender,T1_Ethnicity,T6_BFI_agreeable,T6_BFI_conscientious,T6_BFI_open,T6_BFI_extraversion,T6_BFI_neurotic,T1_SWL_1,T1_SWL_2,T1_SWL_3,T1_SWL_4,T1_SWL_5,T1_SWL_Mean,T2_SWL_1,T2_SWL_2,T2_SWL_3,T2_SWL_4,T2_SWL_5,T2_SWL_Mean,T3_SWL_1,T3_SWL_2,T3_SWL_3,T3_SWL_4,T3_SWL_5,T3_SWL_Mean,T4_SWL_1,T4_SWL_2,T4_SWL_3,T4_SWL_4,T4_SWL_5,T4_SWL_Mean,T5_SWL_1,T5_SWL_2,T5_SWL_3,T5_SWL_4,T5_SWL_5,T5_SWL_Mean,T6_SWL_1,T6_SWL_2,T6_SWL_3,T6_SWL_4,T6_SWL_5,T6_SWL_Mean,T7_SWL_1,T7_SWL_2,T7_SWL_3,T7_SWL_4,T7_SWL_5,T7_SWL_Mean,T8_SWL_1,T8_SWL_2,T8_SWL_3,T8_SWL_4,T8_SWL_5,T8_SWL_Mean,T9_SWL_1,T9_SWL_2,T9_SWL_3,T9_SWL_4,T9_SWL_5,T9_SWL_Mean,T10_SWL_1,T10_SWL_2,T10_SWL_3,T10_SWL_4,T10_SWL_5,T10_SWL_Mean,T11_SWL_1,T11_SWL_2,T11_SWL_3,T11_SWL_4,T11_SWL_5,T11_SWL_Mean,T11_LifeSatisf_Change_1,T11_LifeSatisf_Change_2,T11_LifeSatisf_Change_3,T11_LifeSatisf_Change_4,T11_LifeSatisf_Change_5
212,37,2,2,3.666666667,4,3.333333333,2,2.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,7
213,50,2,2,3,4,2.333333333,3.666666667,0,5,4,5,5,6,5,4,5,5,4,5,4.6,5,4,5,4,5,4.6,5,4,5,5,6,5,5,3,3,4,4,3.8,4,4,5,4,5,4.4,5,5,5,5,6,5.2,5,4,4,5,5,4.6,5,4,5,5,5,4.8,5,4,5,4,5,4.6,5,4,5,4,5,4.6,3,6,1,6,4
214,23,1,2,NA,NA,NA,NA,NA,4,6,5,6,4,5,4,6,4,6,5,5,5,5,4,6,6,5.2,4,5,4,6,5,4.8,5,6,5,5,6,5.4,NA,NA,NA,NA,NA,NA,4,5,2,5,4,4,3,5,2,5,4,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,29,2,2,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,35,1,2,2.666666667,3,3.666666667,2.333333333,1,1,2,5,3,0,2.2,1,2,5,4,1,2.6,2,2,5,5,0,2.8,1,2,5,5,0,2.6,1,2,5,4,0,2.4,1,1,5,4,1,2.4,1,2,5,5,0,2.6,1,1,5,4,0,2.2,1,1,5,4,0,2.2,1,2,5,4,0,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
217,72,2,2,3.666666667,3,3,1,0,5,4,5,5,2,4.2,4,4,4,5,1,3.6,5,4,5,5,1,4,4,4,4,4,2,3.6,5,4,5,5,4,4.6,4,4,4,5,4,4.2,4,5,5,4,4,4.4,5,4,4,4,4,4.2,5,4,4,4,4,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,43,1,4,2,2.666666667,3.666666667,1.333333333,2.333333333,2,3,3,3,2,2.6,2,3,3,3,2,2.6,3,3,3,3,2,2.8,2,3,3,2,2,2.4,3,4,3,3,2,3,3,3,3,3,2,2.8,3,3,3,4,2,3,3,4,4,3,3,3.4,3,2,2,2,2,2.2,2,3,3,3,1,2.4,2,3,1,2,1,1.8,1,5,3,5,6
219,57,1,2,0.666666667,1.333333333,2,0.666666667,3,3,4,5,5,1,3.6,2,2,1,3,1,1.8,0,3,3,3,0,1.8,1,1,1,3,0,1.2,3,3,1,2,1,2,3,3,1,3,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,3,1,1.8,4,4,4,5,1,3.6,1,3,5,7,2
220,24,1,2,NA,NA,NA,NA,NA,5,3,6,3,4,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
221,31,2,2,2.333333333,1.666666667,3.333333333,1.666666667,0.666666667,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,3,4,5,5,5,5,3,4.6,5,5,5,5,4,4.8,4,5,5,5,3,4.4,3,4,4,5,4,4,4,5,5,4,3,4.2,4,4,4,4,3,3.8,3,4,3,4,3,3.4,4,4,4,5,3,4,5,3,5,5,5
222,45,2,2,0,2,2.666666667,2.333333333,0,3,2,1,0,1,1.4,1,3,2,0,1,1.4,3,2,1,2,0,1.6,3,2,1,1,1,1.6,3,2,3,1,0,1.8,3,3,1,2,1,2,3,2,1,1,1,1.6,2,1,1,3,1,1.6,3,3,4,2,1,2.6,3,1,1,3,1,1.8,2,3,1,1,1,1.6,3,3,2,7,4
223,45,2,2,NA,NA,NA,NA,NA,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,22,1,4,1.666666667,3,3.666666667,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,0,0,0,0.4,1,5,1,1,0,1.6,0,3,0,0,0,0.6,1,1,1,1,0,0.8,NA,NA,NA,NA,NA,NA,0,2,0,1,0,0.6,5,5,5,6,6
225,74,2,2,4,3.333333333,4,3.333333333,0.333333333,4,4,5,4,3,4,5,4,5,4,5,4.6,4,4,5,5,5,4.6,4,4,5,5,5,4.6,5,4,5,5,5,4.8,4,4,5,5,5,4.6,5,4,5,5,5,4.8,5,5,5,4,4,4.6,NA,NA,NA,NA,NA,NA,4,4,5,5,6,4.8,5,4,5,4,6,4.8,3,3,3,6,6
226,51,2,2,NA,NA,NA,NA,NA,2,2,2,4,2,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
227,42,1,2,NA,NA,NA,NA,NA,5,5,4,5,5,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,3,5,4,NA,NA,NA,NA,NA,NA,4,4,4,3,4,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
228,37,2,2,NA,NA,NA,NA,NA,4,6,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5,6,4,4.8,5,6,6,6,5,5.6,6,6,6,5,5,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
229,44,2,2,NA,NA,NA,NA,NA,4,4,5,4,0,3.4,5,5,5,4,1,4,5,5,5,5,0,4,5,5,4,5,1,4,5,5,5,5,0,4,NA,NA,NA,NA,NA,NA,5,5,5,5,1,4.2,5,5,5,5,1,4.2,4,4,4,5,1,3.6,5,5,5,5,0,4,5,5,6,5,1,4.4,4,3,4,7,5
230,49,2,2,3,4,1.666666667,1.666666667,2.333333333,2,2,3,4,2,2.6,1,1,1,3,1,1.4,3,3,3,4,1,2.8,3,3,3,4,2,3,2,2,3,3,1,2.2,3,3,4,4,2,3.2,3,3,3,3,2,2.8,2,2,3,3,1,2.2,2,2,3,3,1,2.2,3,3,3,4,2,3,3,3,3,4,1,2.8,2,3,1,5,4
231,37,1,2,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
232,49,1,2,1.666666667,3.666666667,1,2,1.666666667,5,5,5,5,4,4.8,3,3,3,3,3,3,4,3,3,3,3,3.2,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,3,4,3,3,4,4,3,3.4,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,5,4,5,5,3,4.4,4,5,3,5,6
233,36,2,2,2.333333333,4,2.666666667,1.666666667,1.333333333,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,4.6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,5,4,6
234,45,1,2,NA,NA,NA,NA,NA,3,3,3,3,4,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,2,3,2.8,NA,NA,NA,NA,NA,NA,3,3,4,4,4,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
235,46,2,2,NA,NA,NA,NA,NA,5,4,5,5,3,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
236,38,2,2,4,2,2,0.666666667,2.333333333,4,4,4,5,2,3.8,4,5,5,5,1,4,3,4,4,3,2,3.2,3,4,5,6,2,4,3,3,4,4,2,3.2,3,2,3,4,1,2.6,NA,NA,NA,NA,NA,NA,3,4,5,5,5,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
237,36,2,1,1.666666667,2.666666667,1,0.666666667,4,0,1,0,3,0,0.8,0,0,1,1,0,0.4,0,2,0,1,0,0.6,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0.2,0,0,1,1,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,35,2,1,2.666666667,3.333333333,3.666666667,1.666666667,1.666666667,2,3,2,2,1,2,1,3,1,2,2,1.8,1,2,1,1,1,1.2,1,3,1,1,1,1.4,NA,NA,NA,NA,NA,NA,2,3,2,2,1,2,1,2,1,1,1,1.2,NA,NA,NA,NA,NA,NA,0,3,1,1,1,1.2,0,3,1,1,1,1.2,0,2,0,1,0,0.6,0,2,3,6,6
239,27,1,2,2,4,3.666666667,2,0,2,3,3,3,0,2.2,2,3,3,3,0,2.2,3,3,3,3,0,2.4,3,3,1,1,0,1.6,2,3,1,2,0,1.6,1,3,3,2,0,1.8,NA,NA,NA,NA,NA,NA,0,0,0,3,0,0.6,0,3,3,1,0,1.4,0,3,3,1,0,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240,32,1,2,2.333333333,3.333333333,2,2.333333333,2,2,3,5,4,2,3.2,NA,NA,NA,NA,NA,NA,4,3,3,4,4,3.6,4,4,4,3,4,3.8,4,3,3,2,3,3,4,3,5,4,3,3.8,4,5,5,3,3,4,4,3,2,3,4,3.2,3,2,3,4,4,3.2,NA,NA,NA,NA,NA,NA,4,3,4,5,4,4,2,4,5,6,5
241,40,2,2,NA,NA,NA,NA,NA,0,2,1,1,0,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,3,0,1.8,0,0,0,3,0,0.6,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,27,1,2,NA,NA,NA,NA,NA,2,2,1,3,0,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,3,1,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
243,51,2,2,NA,NA,NA,NA,NA,3,3,5,6,2,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,5,6,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
244,30,1,2,0.666666667,4,1.666666667,3.666666667,0.333333333,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,1,4,7
245,64,1,2,NA,NA,NA,NA,NA,4,4,4,5,3,4,4,4,5,5,3,4.2,4,4,4,5,3,4,4,4,5,5,3,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,34,1,2,NA,NA,NA,NA,NA,5,5,5,5,4,4.8,5,5,5,5,3,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
247,42,2,2,NA,NA,NA,NA,NA,4,4,4,4,1,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,0,4,1,1,1,5,0,1.6,4,3,4,4,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
248,45,1,2,NA,NA,NA,NA,NA,3,3,3,3,1,2.6,2,2,3,2,0,1.8,1,2,3,2,0,1.6,2,3,3,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,2,0,1.6,2,2,2,2,0,1.6,1,2,3,3,0,1.8,1,3,3,3,0,2,1,4,3,5,5
249,33,6,2,NA,NA,NA,NA,NA,4,5,5,6,4,4.8,2,4,5,5,3,3.8,4,5,5,5,4,4.6,4,5,5,6,4,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,3,2,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
250,57,2,2,4,4,4,2.666666667,0,6,6,6,6,6,6,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,6,6,6,6,6,6,6,3,3,7,7
251,34,1,2,1.666666667,1.333333333,2.333333333,1.666666667,0.666666667,3,3,2,3,2,2.6,3,3,2,2,2,2.4,3,2,3,2,2,2.4,3,3,2,2,2,2.4,3,4,3,2,2,2.8,3,3,2,2,2,2.4,3,3,2,2,2,2.4,4,3,3,2,2,2.8,4,3,3,2,2,2.8,3,3,4,3,2,3,3,2,4,2,2,2.6,2,2,4,3,5
252,37,2,2,2.333333333,1.666666667,2.666666667,3,3.666666667,3,3,1,4,1,2.4,4,4,3,4,1,3.2,5,5,4,4,2,4,5,5,4,4,1,3.8,4,4,4,4,2,3.6,5,4,4,4,0,3.4,5,4,4,5,2,4,4,4,4,4,1,3.4,6,5,4,3,0,3.6,3,5,3,4,1,3.2,4,4,4,4,2,3.6,3,3,4,4,4
253,62,1,2,NA,NA,NA,NA,NA,0,1,1,1,1,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
254,40,2,2,3,4,2,2,0.333333333,4,4,4,4,3,3.8,4,4,4,4,2,3.6,4,4,4,4,3,3.8,4,4,4,4,3,3.8,4,4,4,4,3,3.8,4,4,4,4,3,3.8,4,4,4,4,3,3.8,4,4,4,4,3,3.8,4,4,4,4,3,3.8,4,4,4,4,3,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
255,41,1,2,3.333333333,2,1.666666667,1,1.333333333,3,2,3,3,2,2.6,4,3,4,3,3,3.4,4,3,4,3,3,3.4,3,2,3,3,2,2.6,3,2,3,3,2,2.6,3,2,3,3,1,2.4,3,2,3,3,2,2.6,3,3,4,4,2,3.2,3,2,3,3,2,2.6,3,2,3,3,2,2.6,3,2,3,3,2,2.6,4,1,2,3,5
256,41,2,5,2,2.333333333,0.666666667,0,3,0,0,0,1,0,0.2,0,0,0,0,0,0,0,0,0,1,0,0.2,0,0,0,1,0,0.2,0,0,0,1,0,0.2,0,0,0,1,0,0.2,0,0,0,0,0,0,0,0,0,1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.2,3,4,2,3,5
257,29,2,2,NA,NA,NA,NA,NA,4,5,5,6,2,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,73,1,2,3.333333333,4,3,1.666666667,0.666666667,3,3,4,2,2,2.8,4,3,4,3,2,3.2,4,3,4,2,2,3,4,4,4,2,2,3.2,4,3,4,2,2,3,4,3,5,2,2,3.2,3,3,5,2,2,3,4,3,4,2,2,3,4,3,4,2,2,3,4,3,5,3,2,3.4,4,3,3,3,2,3,4,5,2,2,4
259,42,2,2,4,1.333333333,1.333333333,1.666666667,3.333333333,4,4,4,5,2,3.8,4,4,4,5,3,4,3,4,3,5,3,3.6,3,4,1,5,3,3.2,4,4,4,5,4,4.2,4,5,4,5,3,4.2,4,4,4,5,3,4,NA,NA,NA,NA,NA,NA,4,5,4,5,3,4.2,3,4,4,5,3,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260,45,1,2,4,4,3.333333333,3.333333333,0,6,6,6,6,6,6,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,3,5,4,5
261,41,2,1,NA,NA,NA,NA,NA,3,3,3,4,1,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,4,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
262,37,1,6,NA,NA,NA,NA,NA,0,0,0,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,3,1,1,0,0,0,1,0,0.2,0,2,0,0,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
263,52,2,2,3.666666667,4,2,1.333333333,0.333333333,4,4,5,5,4,4.4,5,5,5,5,4,4.8,5,5,5,4,4,4.6,NA,NA,NA,NA,NA,NA,5,4,5,5,4,4.6,4,4,5,4,4,4.2,4,4,5,5,4,4.4,4,3,5,4,3,3.8,5,4,5,5,4,4.6,4,4,5,5,4,4.4,5,5,6,5,4,5,3,5,3,3,4
264,39,2,6,NA,NA,NA,NA,NA,5,5,5,5,1,4.2,5,5,5,5,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
265,25,1,2,2.666666667,3.333333333,2.666666667,2.333333333,0,4,5,5,4,4,4.4,5,5,5,5,3,4.6,5,5,5,5,4,4.8,5,5,5,5,5,5,5,5,5,5,4,4.8,5,5,5,5,4,4.8,5,5,5,5,4,4.8,5,5,5,4,5,4.8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,7
266,41,1,2,NA,NA,NA,NA,NA,3,3,3,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,5,4,2,3,2,2,4,5,1,2.8,2,2,4,5,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
267,45,2,2,NA,NA,NA,NA,NA,4,4,4,5,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
268,49,1,4,2,2.666666667,2.333333333,0.333333333,0.333333333,4,4,4,4,3,3.8,4,4,4,4,2,3.6,4,4,4,4,3,3.8,4,4,4,4,4,4,4,4,4,4,3,3.8,5,4,4,4,3,4,4,4,4,4,3,3.8,4,4,4,4,3,3.8,5,4,4,4,3,4,4,4,4,4,2,3.6,4,4,4,4,3,3.8,3,4,2,4,4
269,41,2,2,NA,NA,NA,NA,NA,3,3,4,4,2,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,2,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
270,23,2,2,NA,NA,NA,NA,NA,5,4,4,4,2,3.8,3,2,4,4,2,3,NA,NA,NA,NA,NA,NA,4,4,5,3,2,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,3,2,2,1.8,2,4,1,3,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
271,49,1,2,NA,NA,NA,NA,NA,5,5,5,5,1,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,1,4.2,5,5,5,5,1,4.2,5,5,5,5,1,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
272,23,2,2,2.333333333,2.666666667,3,1.333333333,1,5,4,4,1,0,2.8,5,4,5,2,1,3.4,3,3,4,3,2,3,NA,NA,NA,NA,NA,NA,5,4,3,4,1,3.4,6,5,4,4,2,4.2,4,5,5,2,1,3.4,1,3,3,2,1,2,3,2,3,2,2,2.4,NA,NA,NA,NA,NA,NA,5,4,5,4,3,4.2,4,3,3,5,4
273,53,1,6,2,3,3.333333333,2.666666667,0,1,5,5,5,1,3.4,1,5,5,5,0,3.2,1,5,5,5,0,3.2,1,5,4,5,0,3,0,3,2,2,0,1.4,0,6,5,5,0,3.2,0,5,5,5,0,3,0,5,4,5,0,2.8,0,6,4,5,0,3,2,5,5,5,1,3.6,1,5,5,5,1,3.4,4,3,5,6,4
274,41,1,2,1.666666667,4,3,2,0.333333333,5,5,5,5,6,5.2,5,5,5,5,6,5.2,3,5,5,5,6,4.8,5,5,5,5,6,5.2,5,5,5,5,6,5.2,5,5,5,5,6,5.2,5,5,5,5,6,5.2,5,5,5,5,6,5.2,5,5,5,5,6,5.2,5,5,5,5,6,5.2,5,5,5,5,6,5.2,4,5,3,5,4
275,28,2,2,2.666666667,4,3.666666667,2,2.333333333,3,3,4,5,4,3.8,2,2,3,5,3,3,3,3,4,5,3,3.6,4,4,5,6,4,4.6,3,3,3,5,2,3.2,3,3,3,5,4,3.6,2,2,3,6,4,3.4,0,0,0,3,2,1,2,2,1,3,3,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
